ACCOUNTS,Accounts Updation,600,Mansoori Car Hire Est,08/03/2020
TAX,Excise,3500,Vita Vision Medical supplies LLC,08/03/2020
CID,Liquidation,4000,OPTIMA MIDDLE EAST GENERAL TRADING LLC,08/03/2020
AUDIT,External Audit,5000,Masin Hydrocarbon FZC,07/03/2020
TAX,Registration,750,Wisk Investments LLC,05/03/2020
TAX,Compliance/ Advisory,1000,Capital Building Maint Co LLC,05/03/2020
AUDIT,External Audit,4500,Anderson International DMCC,05/03/2020
AUDIT,External Audit,6000,Integral Shopper FZ-LLC,04/03/2020
AUDIT,External Audit,23000,Ticketmaster Middle East FZ-LLC,03/03/2020
AUDIT,External Audit,10000,Foresight Group Services limited FZCO,03/03/2020
AUDIT,External Audit,3500,Bright Sports LLC,03/03/2020
AUDIT,Certification,1500,Silvershield Trading Co. LLC,03/03/2020
TAX,Registration,1500,RAJYOG Water Bottling LLC,02/03/2020
AUDIT,External Audit,21000,MA BEV CONSULT DWC LLC,02/03/2020
AUDIT,External Audit,9000,Advania consult DWC- LLC,02/03/2020
AUDIT,External Audit,8000,LSM Consult DWC-LLC,02/03/2020
AUDIT,Certification,1500,OFF THE HOOK RESTAURANT-BRANCH,02/03/2020
AUDIT,External Audit,7000,Semyx FZE,02/03/2020
AUDIT,External Audit,5000,"Riviera Palace Beauty Centre LLC, Rak",02/03/2020
AUDIT,External Audit,5000,"Rivera Beauty Centre LLC, Fujairah",02/03/2020
AUDIT,External Audit,5000,"Riviera Spa Centre LLC, RAK",02/03/2020
AUDIT,External Audit,5000,"Rivera Spa Centre, RAK",02/03/2020
TAX,Return filing,150,Almanaber Commercial Centre,02/03/2020
AUDIT,External Audit,5000,Advisors 360 DMCC,02/03/2020
AUDIT,External Audit,18500,E Golf Outlet LLC,02/03/2020
TAX,Compliance/ Advisory,10000,Saeed Al Mazroey (SAMCO) Industrial Supplies Sole Proprietorship LLC,01/03/2020
IA,CbCR (Country by Country Reporting),12500,Adeka Al Otaiba Middle East LLC,01/03/2020
IA,Operational_audit,1500,"Xsolla (USA), Inc.",01/03/2020
AUDIT,External Audit,6000,Al Khaleej Cars Parking Management,01/03/2020
AUDIT,External Audit,15000,Citadel Properties,01/03/2020
TAX,Training,2500,STORY AUTO Middle East FZE,01/03/2020
TAX,Registration,1750,Tangerine Treasures LLC,01/03/2020
1500,,,,
IA,Operational_audit,30000,White Metal Alloys Industries FZ LLC,27/02/2020
AUDIT,External Audit,8000,Exporient Middle East FZCO,27/02/2020
CID,Incorporation,3000,Yazan Madanat - KIZAD,27/02/2020
TAX,Return filing,4000,Autoredo Premium Equipment & Automotive Solution Provider,26/02/2020
TAX,Return filing,4000,"Xsolla (USA), Inc.",26/02/2020
AUDIT,External Audit,350,Top Rock Building Completion WLL,26/02/2020
IA,Internal audit,30000,Abu Dhabi International Pvt School WLL,26/02/2020
TAX,Registration,3000,Rashed Hassan Rashed Ahmad ( director of Al Abbar),26/02/2020
AUDIT,External Audit,17000,DECOART,26/02/2020
CID,Incorporation,3000,QO Consulting -KIZAD,25/02/2020
TAX,Registration,750,I Care Tissue Manufacturing LLC,25/02/2020
AUDIT,External Audit,17000,Top Rock Group of Companies,25/02/2020
AUDIT,External Audit,5000,Interact Events LLC - FZ,25/02/2020
AUDIT,External Audit,7000,Murban Restaurant Management LLC,25/02/2020
AUDIT,External Audit,9000,Aqua Arab Trading LLC,24/02/2020
TAX,Return filing,3000,Rawlplug Building & Construction Materials,23/02/2020
TAX,Registration,3000,Ms. Haifa Yousuf Baker,20/02/2020
TAX,Registration,750,T H B Home Health care LLC,20/02/2020
AUDIT,External Audit,10000,Matter Business Solutions DMCC,20/02/2020
TAX,De-registration,1000,Flora Nice General Trading LLC,20/02/2020
TAX,Return filing,1500,Fab Art FZ LLC,20/02/2020
AUDIT,External Audit,9000,RAJYOG Water Bottling LLC,20/02/2020
AUDIT,External Audit,6000,Navitas Middle East FZ- LLC,20/02/2020
TAX,Registration,1000,"Qetaa & Dewaier Cafeteria,",19/02/2020
TAX,Registration,2500,SNG Employment Services LLC,19/02/2020
TAX,Return filing,1800,Al Abbar Group,19/02/2020
AUDIT,External Audit,7000,Anisha International DMCC,18/02/2020
TAX,Return filing,2000,WAXFELLER FZ LLC,18/02/2020
TAX,Return filing,2500,T H B Home Health care LLC,18/02/2020
500,,,,
AUDIT,External Audit,15000,Tarpon International Energy Services LLC,18/02/2020
AUDIT,External Audit,15000,Tarpon Energy Electrical Installations LLC,18/02/2020
AUDIT,External Audit,6000,AT Solution DMCC,18/02/2020
ACCOUNTS,Accounts Updation,4000,Soft Care Cosmetics Trading LLC,18/02/2020
AUDIT,External Audit,8500,TECHNOLOGY VENTURES MIDDLE EAST FZC,17/02/2020
AUDIT,External Audit,5000,Salem Industry LLC,17/02/2020
TAX,Registration,500,Fab Art FZ LLC,17/02/2020
External Audit,3000,,,
TAX,De-registration,3000,Phars Film Co. LLC,17/02/2020
CID,Incorporation,5500,Mobility general trading LLC,17/02/2020
CID,Incorporation,4000,The OG way LLC,17/02/2020
AUDIT,External Audit,20000,SAS POWER INDUSTRIES FZE,17/02/2020
AUDIT,External Audit,4500,Wylton MENA Green Energy Limited,16/02/2020
AUDIT,Certification,1500,Archiade Atelier FZ- LLC,16/02/2020
TAX,Registration,750,Ultra Stream Technologies LLC,16/02/2020
AUDIT,External Audit,7500,Brook Marine Equipment LLC,16/02/2020
TAX,Registration,500,ARABIAN FREIGHT AND LOGISTICS AGENCY LLC,13/02/2020
AUDIT,External Audit,400,Linesight SPC,13/02/2020
AUDIT,External Audit,5000,Central Underwriting F Z E,13/02/2020
AUDIT,External Audit,5000,Sas Management Advisors DMCC,13/02/2020
AUDIT,External Audit,8000,Uponor DMCC,13/02/2020
AUDIT,External Audit,6500,Red International Exibition management Group,13/02/2020
TAX,De-registration,500,Al Falah Sky Property Management,12/02/2020
500,,,,
AUDIT,External Audit,9000,Al Kharji LLC,11/02/2020
ACCOUNTS,Accounts Supervision,21000,Bartawi General Contracting,11/02/2020
AUDIT,External Audit,2500,Bartawi General Contracting,11/02/2020
TAX,Registration,1000,Ascendo Consulting DWC LLC,11/02/2020
IA,Economic Substance Regulation Test,15000,Maui Jim Middle East,10/02/2020
TAX,Return filing,300,Maskati Group,10/02/2020
AUDIT,External Audit,9000,Al Rayan Hotel,10/02/2020
AUDIT,External Audit,20000,TSS middle East (FZC),09/02/2020
AUDIT,External Audit,8000,COEGA Sunwear,09/02/2020
AUDIT,External Audit,6000,Isisan Engineering FZCO,08/02/2020
AUDIT,External Audit,5500,Podravka Gulf FZE,06/02/2020
AUDIT,External Audit,9000,EZ  Software LLC,06/02/2020
AUDIT,External Audit,10000,"Next Generation Marketing FZE,",06/02/2020
AUDIT,External Audit,6000,Pinnacle Trading FZC,05/02/2020
AUDIT,External Audit,6000,SAS Consultants FZE,04/02/2020
TAX,Compliance/ Advisory,5000,Hyundai Engineering Co. Ltd.,03/02/2020
AUDIT,External Audit,2100,Russian Maritime Register of Shipping Middle East DMCC,03/02/2020
AUDIT,External Audit,8000,PKP Consulting DMCC,03/02/2020
DD/VAL,Valuation,27000,Elite Road Supplies Co . ECO,03/02/2020
AUDIT,External Audit,20000,Pizzaro Group,02/02/2020
AUDIT,External Audit,5000,Waves Group FZC,02/02/2020
AUDIT,External Audit,5000,Infoscape Technologies LLC,02/02/2020
AUDIT,External Audit,5000,Ensaan Technologies,02/02/2020
AUDIT,External Audit,350,CCM Management Services SPC,02/02/2020
AUDIT,External Audit,5000,Asian Infrastructure Pte. Ltd (DMCC Br),30/01/2020
AUDIT,External Audit,6000,INOTEC Middle East FZC,30/01/2020
AUDIT,External Audit,10000,INOSAFE Lighting Solutions LLC,30/01/2020
AUDIT,External Audit,8000,First International Business LLC,30/01/2020
TAX,Return filing,150,Amiston Linesight Limited,29/01/2020
TAX,Return filing,150,Linesight SPC,29/01/2020
TAX,Return filing,2500,Youbetterfly Garments Trading LLC,29/01/2020
500,,,,
AUDIT,External Audit,6000,Al Nouras Umbrella & Gifts LLC,29/01/2020
TAX,Registration,150,"Xsolla (USA), Inc.",28/01/2020
IA,Economic Substance Regulation Test,2500,ATHENA FZE,28/01/2020
AUDIT,External Audit,4000,Get Consultants DMCC,27/01/2020
AUDIT,External Audit,2500,Claremont International General Trading,27/01/2020
AUDIT,External Audit,5000,A.S.P Project Management,27/01/2020
TAX,Compliance/ Advisory,750,Ilife Digital Technology LLC,26/01/2020
ACCOUNTS,Accounts Updation,5500,Andika General Trading Co. (LLC),26/01/2020
AUDIT,External Audit,5000,Al Mufilh Engineering LLC,26/01/2020
AUDIT,External Audit,10000,Al shoula Gas Co,26/01/2020
AUDIT,External Audit,16000,Seven Planets Self Owned Property Leasing & Management Services,26/01/2020
AUDIT,External Audit,4000,Star Stationaery Trading LLC,26/01/2020
TAX,Return filing,1000,SANTIAGO INTERNATIONAL,26/01/2020
AUDIT,External Audit,5000,Saudi Kom Trading & Contracting Company Dubai Branch,23/01/2020
TAX,Return filing,125,For You Furniture S.P.C,23/01/2020
TAX,Return filing,,Maricar,23/01/2020
AUDIT,External Audit,5500,Silver Star Holdings Ltd.,22/01/2020
AUDIT,External Audit,6000,Silver Star Global (FZE),22/01/2020
TAX,Registration,500,Greenoponics Agricultural Services LLC,22/01/2020
AUDIT,Certification,6000,Al Fanar Restaurant and Café,22/01/2020
AUDIT,External Audit,5000,Get Consultants DMCC,21/01/2020
AUDIT,External Audit,10000,Cube Graphics LLC,21/01/2020
TAX,Tax Agent Service,750,Assure International Mercantile Company LLC,21/01/2020
AUDIT,External Audit,5000,Home plus Technical services LLC,21/01/2020
AUDIT,External Audit,5500,Home plus properties LLC,21/01/2020
TAX,Return filing,35000,American Community School,20/01/2020
TAX,Compliance/ Advisory,12000,Scalla Contracting LLC,20/01/2020
AUDIT,External Audit,5000,Global Stratagem Consultants FZC,20/01/2020
IA,Internal audit,87600,Al Jazeera International Catering LLC,20/01/2020
AUDIT,External Audit,8000,FM International FZC,19/01/2020
AUDIT,External Audit,16000,Zams International FZCO,19/01/2020
AUDIT,External Audit,4500,KAM General Contracting and Maintenance,19/01/2020
AUDIT,External Audit,5000,Top star Hotel,19/01/2020
AUDIT,External Audit,5000,Travex travel  and Tourism,19/01/2020
AUDIT,External Audit,5000,Royal Yachts and Boats Rental,19/01/2020
AUDIT,External Audit,4500,OBK Business Centre LLC,19/01/2020
AUDIT,External Audit,4500,OBK PROPERTIES LLC,19/01/2020
AUDIT,External Audit,4500,OBK Investment Group,19/01/2020
TAX,Registration,2000,AL REYADAH HOSPITALITY SERVICES,19/01/2020
AUDIT,External Audit,5000,Naficon Fibre Optic Manufacturing LLC,19/01/2020
AUDIT,External Audit,4000,Anbak Telecommunications LLC,19/01/2020
AUDIT,External Audit,7500,Digital Cloud Computer Trading LLC,19/01/2020
AUDIT,External Audit,4000,Topnet Distribution LLC,19/01/2020
AUDIT,External Audit,9000,Topnet Distribution FZCO,19/01/2020
AUDIT,External Audit,7500,Umbra Insurance & Reinsurance Brokers DMCC,19/01/2020
AUDIT,External Audit,30000,Asiana Pacific Trading DMCC,19/01/2020
AUDIT,External Audit,20000,Gulf Trade & Logistics DMCC,19/01/2020
AUDIT,External Audit,10000,SIVC Infrastructure DMCC,19/01/2020
AUDIT,External Audit,10000,Dubai Modern Transport,19/01/2020
AUDIT,External Audit,40000,Sahara Energy Resources DMCC,19/01/2020
ACCOUNTS,Accounts Updation,2000,Bossl General trading L.L.C,19/01/2020
AUDIT,External Audit,11000,SimonsVoss Technologies FZE,19/01/2020
ACCOUNTS,Accounts Supervision,1500,Salloum Trading Co. Gulf LTD,16/01/2020
AUDIT,External Audit,5000,Comsar DMCC,16/01/2020
AUDIT,External Audit,6000,Burness Corlett Three Quays Group,16/01/2020
AUDIT,External Audit,4800,Petrona Gulf,15/01/2020
TAX,Return filing,1000,Saeed Al Mazroey (SAMCO) Industrial Supplies Sole Proprietorship LLC,15/01/2020
AUDIT,External Audit,6000,Trend Middle East DMCC,15/01/2020
AUDIT,Agreed upon procedure,6000,Arabian Profile Company Limited,14/01/2020
AUDIT,External Audit,5000,M3 Marine Innovative Technologies Sole Proprietorship LLC,14/01/2020
TAX,Excise,7000,Fujairah Farm,14/01/2020
TAX,Registration,75,Shahnameh Restaurant,13/01/2020
AUDIT,External Audit,19000,Al Afiah Roads Contracting LLC,13/01/2020
AUDIT,External Audit,13500,Avotech General Trading LLC,12/01/2020
AUDIT,External Audit,5000,Work Space Interior LLC,12/01/2020
AUDIT,External Audit,18000,Aras Group,12/01/2020
TAX,Return filing,200,"Xsolla (USA), Inc.",11/01/2020
150,,,,
IA,Internal audit,18000,Creek Insurance Brokers LLC,09/01/2020
External Audit,6000,,,
TAX,Compliance/ Advisory,3000,Vallourec Middle East FZE,09/01/2020
IA,Internal audit,3000,INTERGLOBE MARINE LLC,09/01/2020
IA,Economic Substance Regulation Test,6000,FM International FZC,09/01/2020
IA,Economic Substance Regulation Test,6000,Zams International FZCO,09/01/2020
AUDIT,External Audit,5000,Comtinu DMCC,09/01/2020
AUDIT,External Audit,5000,Big Fish Consult DMCC,09/01/2020
AUDIT,External Audit,5000,Tranquini DMCC,09/01/2020
ACCOUNTS,Review of Accounts,6000,EIMAS DMCCO,09/01/2020
TAX,De-registration,,Flora Nice General Trading LLC,09/01/2020
TAX,Registration,1000,Rainbow Star Trading,08/01/2020
TAX,Return filing,200,Denta Derma Bogari Center,08/01/2020
AUDIT,External Audit,14000,Aafiya Medical Billing Services LLC,07/01/2020
AUDIT,Agreed upon procedure,3500,Waterworks Technologies INC,07/01/2020
AUDIT,External Audit,3500,"The Indus  Enterpreneurs ( Middle East)  Limited , Dubai , UAE",07/01/2020
AUDIT,External Audit,9500,Waterworks Technologies INC,07/01/2020
AUDIT,External Audit,400,Vopak Middle East B V,07/01/2020
AUDIT,External Audit,5000,Ecabiotec Middle East Manufacturing LLC,07/01/2020
AUDIT,External Audit,5000,Leanax Trading LLC,07/01/2020
AUDIT,External Audit,6000,Crystal Line Environment Protection Equipments Trading and Crystal Line Cleaning & Environmental Services,07/01/2020
AUDIT,External Audit,6000,IMC Medical Center LLC,07/01/2020
TAX,Registration,1000,Rainbow Star Training Services LLC,06/01/2020
AUDIT,External Audit,30000,Belectric Gulf Limited,06/01/2020
TAX,Registration,1500,SLM IMPEX GENERAL TRADING LLC,05/01/2020
AUDIT,External Audit,7000,Unico Global Logistics LLC,05/01/2020
AUDIT,External Audit,9000,Al Ghail Power LLC,04/01/2020
AUDIT,External Audit,3000,Indiga Steel Wood Industries FZC,02/01/2020
AUDIT,External Audit,7500,Indiga Tech. FZ-LLC,02/01/2020
TAX,De-registration,1250,Sara Cosmetic Accessories LLC,31/12/2019
AUDIT,External Audit,10000,Swan Analytical Middle East FZE,30/12/2019
ACCOUNTS,Review of Accounts,20000,Technical Supplies & Services Co. LLC,29/12/2019
TAX,Registration,1000,Victoria Travel Agency,26/12/2019
AUDIT,External Audit,5500,premium Pipe DMCC,26/12/2019
AUDIT,External Audit,24000,Centimetercube LLC,24/12/2019
TAX,Registration,3000,Skyway Green Tech FZE,23/12/2019
AUDIT,External Audit,30000,Ezentus FZE,23/12/2019
AUDIT,External Audit,30000,THUMBAY PHARMACY LLC,23/12/2019
AUDIT,External Audit,4000,Vivace International FZC,23/12/2019
TAX,Excise,12000,NCC National Catering Company,22/12/2019
TAX,De-registration,1000,Central Underwriting FZE,22/12/2019
TAX,Registration,1000,ATHENA FZE,22/12/2019
Accounts Updation,2500,,,
5000,,,,
AUDIT,External Audit,7000,Hydrofuel innovation and Consultancy DMCC,22/12/2019
AUDIT,External Audit,7000,Shuangliang Eco Energy Technolgies DMCC,22/12/2019
TAX,Registration,150,Al Mansoori Architecture,21/12/2019
TAX,Registration,100,11 Stars Swimming Pool,21/12/2019
TAX,Return filing,3000,Sky Way Group of Companies,19/12/2019
TAX,Registration,125,Tasaly Contracting,19/12/2019
AUDIT,Certification,150,Al Shaya Trading Co. W.L.L,19/12/2019
CID,Liquidation,5000,Zebrano Interior Decoration .L.L.C,19/12/2019
AUDIT,External Audit,21000,National Resources Insurance Services Co. LLC,19/12/2019
AUDIT,External Audit,15000,Berlitz Language Institute L.L.C,19/12/2019
AUDIT,External Audit,8000,International Construction ADR Limited,19/12/2019
AUDIT,External Audit,7000,Savora Food Industry LLC,16/12/2019
AUDIT,External Audit,3500,Dubai Construction Industry Business Group,16/12/2019
ACCOUNTS,Accounts Supervision,1250,Max Home Real Estate & Management,16/12/2019
TAX,Registration,75,Suntec Supplies,12/12/2019
CID,Incorporation,6500,Crystal line cleaning & environmental service,12/12/2019
TAX,Registration,75,Zaks Trading W.L.L,12/12/2019
TAX,Registration,500,Noor Juice and Grill Restuarent,11/12/2019
Accounts Updation,,,,
AUDIT,External Audit,7000,Anaum International Electronics LLC,11/12/2019
TAX,Return filing,1100,SEVEN LINE REAL ESTATE BROKER,10/12/2019
TAX,Compliance/ Advisory,750,Bizx,10/12/2019
AUDIT,Certification,4000,Ticketmaster Middle East FZ-LLC,09/12/2019
AUDIT,External Audit,7000,Al Jazib Packaging LLC,09/12/2019
IA,Internal audit,4000,EFS EBREX DMCC,09/12/2019
AUDIT,External Audit,12000,Drew Marine UAE LLC. & Faisal Marine,09/12/2019
TAX,Compliance/ Advisory,500,Tnerit L.L.C,08/12/2019
TAX,Registration,2000,Aggregate Manufacturing Plant,08/12/2019
CID,Liquidation,5000,Lattice Sustainable Solutions ( FZC),07/12/2019
TAX,Return filing,1000,Continent Representation of Comapnies,04/12/2019
ACCOUNTS,Regular,1500,Continent Representation of Comapnies,04/12/2019
AUDIT,External Audit,18500,Spring Tech Industries LLC Group,04/12/2019
TAX,Registration,100,Waleed Bastaki Distribution SPC,03/12/2019
CID,Incorporation,16106,E Cloudpro Technologies -LLC,28/11/2019
CID,PRO,1000,shams  free zone,28/11/2019
CID,PRO,2000,My world market LLC - Liquidation,28/11/2019
CID,PRO,2340,Qai Consulting DMCC,28/11/2019
CID,PRO,350,Rock Design LLC,28/11/2019
CID,PRO,6779,Global Stratagem Consultants FZC,28/11/2019
CID,PRO,4750,Quest Holding LTD,28/11/2019
AUDIT,External Audit,5000,Specwell  Carpentary LLC,27/11/2019
AUDIT,External Audit,40000,SPACEWELL INTERIORS (L.L.C),27/11/2019
TAX,Compliance/ Advisory,1500,TUSHAR PATHAK,27/11/2019
CID,Incorporation,7500,The Veterinary Group - LLC,27/11/2019
AUDIT,External Audit,117500,Golden Eagle Group,27/11/2019
TAX,Excise,5000,Modern Bakery LLC,27/11/2019
TAX,Excise,2500,Beirut Roastery,27/11/2019
500,,,,
TAX,Return filing,1500,FALCON METALS LTD.,27/11/2019
TAX,Excise,4000,Vaping Smoking Requisites Trading LLC,26/11/2019
AUDIT,External Audit,10000,MedSeven Drug Store,26/11/2019
TAX,Registration,1000,Locust Technologies,25/11/2019
1250,,,,
AUDIT,External Audit,6000,AV Integration Distribution FZCO,25/11/2019
TAX,Return filing,3000,Rawlplug Building & Construction Materials,25/11/2019
CID,Liquidation,2100,My world market LLC - Liquidation,25/11/2019
CID,PRO,6779,Global Stratagem Consultants FZC,25/11/2019
CID,PRO,185,Controls Middle East Measurment & Equip Fix LLC,25/11/2019
CID,Liquidation,2340,Qai Consulting DMCC,25/11/2019
CID,PRO,350,Rock Design LLC,25/11/2019
CID,Liquidation,4000,Quest Holding LTD,25/11/2019
TAX,Compliance/ Advisory,1000,Petroleum Equipment International Middle East FZC,25/11/2019
TAX,Tax Agent Service,8000,Zulekha Hospital,24/11/2019
8000,,,,
TAX,Return filing,1000,chaska Chai Cafeteria LLC,24/11/2019
TAX,Registration,750,IMAM UDDIN MINI MART L.LC,24/11/2019
TAX,Excise,25000,Fathima Group of Companies,24/11/2019
AUDIT,External Audit,18000,Mayekawa Middle East FZCO,21/11/2019
AUDIT,External Audit,4500,Food Station Restaurant Management LLC,20/11/2019
TAX,Registration,750,OPC FOODSTUFF TRADING LLC,20/11/2019
AUDIT,Certification,10000,Ticketmaster Middle East FZ-LLC,20/11/2019
ACCOUNTS,Review of Accounts,5000,ePillars Systems LLC,20/11/2019
TAX,Excise,30000,Nesto Group,20/11/2019
TAX,Compliance/ Advisory,750,Al Mohaseboon Al Asreyoon Tax Consultancy,20/11/2019
DD/VAL,Valuation,17000,Petrona Gulf,19/11/2019
ACCOUNTS,Accounts Updation,1000,Kenzie Clean Eco Car Wash,19/11/2019
TAX,Compliance/ Advisory,2700,Indesign Developments Limited,19/11/2019
TAX,Registration,500,Marisoft DWC LLC,18/11/2019
IA,Internal audit,2000,Edgen Murray,18/11/2019
TAX,Tax Agent Service,5000,Al Abbas Group,17/11/2019
4000,,,,
TAX,Compliance/ Advisory,750,Sovereign Corporate Services,14/11/2019
TAX,Compliance/ Advisory,7000,Samsung C&T Corporation,14/11/2019
AUDIT,External Audit,10000,Media sports Management FZ LLC,14/11/2019
CID,PRO,3333,Yellow Tulip Consulting LTD,14/11/2019
ACCOUNTS,Accounts Supervision,650,Al Qiwani Air Conditioning LLC,13/11/2019
TAX,Compliance/ Advisory,750,Tnerit L.L.C,13/11/2019
TAX,Compliance/ Advisory,3000,Accord healthcare MENA DMCC,12/11/2019
TAX,Excise,17000,Modern Bakery LLC,12/11/2019
CID,Liquidation,4000,Matter Business Solutions DMCC,12/11/2019
AUDIT,External Audit,10000,Express Ghayathi Hyper Market,12/11/2019
AUDIT,Certification,24000,Live Nation Middle East FZ LLC,12/11/2019
AUDIT,Certification,4000,Ticketmaster Middle East FZ-LLC,12/11/2019
CID,PRO,13183,Delta Dynamic Marine LTD,11/11/2019
AUDIT,External Audit,45000,Thumbay Hospital Group,11/11/2019
TAX,Compliance/ Advisory,25000,Compu Cell General Trading LLC,11/11/2019
TAX,Implementation,150,Luqman Contracting Est.,11/11/2019
TAX,Implementation,350,Al Akhyar Contracting & Maintenance Co. W.L.L.,11/11/2019
TAX,De-registration,1500,Royal Capital Management Consultancy,11/11/2019
TAX,Excise,3500,Savora Food Industry LLC,10/11/2019
TAX,Compliance/ Advisory,1000,KSB Middle East FZE,10/11/2019
5000,,,,
TAX,Registration,1000,Urban Retreat,10/11/2019
TAX,Registration,1000,WAXFELLER FZ LLC,07/11/2019
TAX,Compliance/ Advisory,8000,Translang Ltd,07/11/2019
8400,,,,
1500,,,,
ACCOUNTS,Accounts Updation,3000,Umbra Insurance & Reinsurance Brokers DMCC,07/11/2019
TAX,Compliance/ Advisory,500,Al Bucheeri Industrial Services,06/11/2019
CID,Incorporation,7500,eCloudpro Technologies LLC,05/11/2019
CID,Liquidation,,Macel,05/11/2019
AUDIT,External Audit,24000,Adeka Al Otaiba Middle East LLC,04/11/2019
TAX,Return filing,1750,VUUX Creative Solutions FZ LLC,04/11/2019
TAX,Return filing,1800,Alkarmel Metal Industries FZE,04/11/2019
External Audit,,,,
CID,PRO,5000,A2Z Business solutions,03/11/2019
CID,PRO,16000,Multigrow Commercial Brokers L.L.C,03/11/2019
CID,PRO,700,Design Line interior consultancy LLC,03/11/2019
CID,PRO,2500,African Energy Trading FZC,03/11/2019
CID,PRO,1000,Mode Finserver Private Limited,03/11/2019
DD/VAL,Valuation,14000,Exporient Middle East FZCO,03/11/2019
CID,PRO,8400,Shuraa Management,03/11/2019
CID,PRO,15110,Umbra Insurance,03/11/2019
TAX,Return filing,,"TransLang, Ltd.",03/11/2019
TAX,Excise,5000,Zydus Worldwide DMCC,02/11/2019
AUDIT,Business Plan,5000,"AL AIN EQUESTRIAN, SHOOTING & GOLF CLUB",02/11/2019
ACCOUNTS,Accounts Updation,2500,TGR DWC- LLC,31/10/2019
CID,Incorporation,6000,HTMi Switzerland Dubai,31/10/2019
CID,Incorporation,4000,Multigrow Commercial Brokers L.L.C,30/10/2019
AUDIT,External Audit,10000,United Business Line DMCC,30/10/2019
CID,Liquidation,5000,Emergeast FZ LLC,30/10/2019
AUDIT,External Audit,18000,Meggle Africa & Middle East DMCC,29/10/2019
ACCOUNTS,Accounts Supervision,2750,Vivace International FZC,29/10/2019
External Audit,4000,,,
TAX,Return filing,500,Icam Consultancy FZE,28/10/2019
TAX,Registration,2000,EZ SOFTWARE LLC,28/10/2019
TAX,Return filing,2500,Triple One Solutions LLC,28/10/2019
TAX,Return filing,150,Qamar Al Haq Services Co. W.L.L.,27/10/2019
TAX,Return filing,2000,Trouvay & Cauvin Gulf,27/10/2019
TAX,Compliance/ Advisory,571,Integrated Plastics Packaging L.L.C,24/10/2019
TAX,Registration,500,Meridian Travel and Tourism L.L.C,23/10/2019
TAX,Return filing,150,Gudaibiya Building Construction W.L.L.,23/10/2019
AUDIT,Certification,2000,Furnishings 2XL LLC,23/10/2019
TAX,Return filing,500,RRS General Trading LLC,23/10/2019
TAX,Return filing,1000,Wajdi Enterprisess,23/10/2019
TAX,De-registration,1000,United Luxury Trading LLC,23/10/2019
IA,Internal audit,7500,3E,22/10/2019
TAX,Compliance/ Advisory,1000,Royal Capital Management Consultancy,22/10/2019
TAX,Return filing,2000,PHYSIOCARE FZ LLC,22/10/2019
